generation,best_rule,best_fitness,mean_fitness
0,210,0.01608910891089109,0.3827970297029703
1,210,0.01608910891089109,0.1361592409240924
2,210,0.01608910891089109,0.05905528052805279
3,210,0.01608910891089109,0.13240511551155118
4,90,0.0,0.08784653465346536
5,90,0.0,0.07576732673267328
6,90,0.0,0.07107260726072608
7,90,0.0,0.09132838283828383
8,90,0.0,0.019814356435643565
9,90,0.0,0.05238036303630363
10,90,0.0,0.11578382838283827
11,90,0.0,0.05511963696369638
12,90,0.0,0.09103135313531352
13,90,0.0,0.06074257425742575
14,90,0.0,0.03881188118811882
15,90,0.0,0.08391089108910892
16,90,0.0,0.08040016501650166
17,90,0.0,0.09864686468646866
18,90,0.0,0.07666666666666667
19,90,0.0,0.08414191419141913
20,90,0.0,0.04075907590759076
21,90,0.0,0.08894801980198021
22,90,0.0,0.08641089108910889
23,90,0.0,0.0406930693069307
24,90,0.0,0.047541254125412546
25,90,0.0,0.04638613861386139
26,90,0.0,0.10869636963696369
27,90,0.0,0.0939480198019802
28,90,0.0,0.128490099009901
29,90,0.0,0.05443481848184818
30,90,0.0,0.09141914191419141
31,90,0.0,0.04841584158415842
32,90,0.0,0.06404290429042904
33,90,0.0,0.09349009900990099
34,90,0.0,0.07016089108910892
35,90,0.0,0.043861386138613866
36,90,0.0,0.11110148514851484
37,90,0.0,0.05138201320132014
38,90,0.0,0.067986798679868
39,90,0.0,0.07338696369636964
40,90,0.0,0.07717821782178218
