generation,best_fitness,mean_fitness,median_fitness,diversity
0,110.84732957005278,184.30584646149427,183.70416491452417,2.9061607649174213
1,106.59336686107756,174.1418133545092,171.78106477659918,2.766841225823115
2,88.4445361570429,148.98640582207466,145.1615605587839,2.3367146904175327
3,75.89966246762219,136.1395357504434,133.11975458269103,2.0664300918004717
4,75.89966246762219,133.98410556645234,134.99660508300798,1.8244264134858603
5,75.89966246762219,117.94601434351168,121.23711396064482,1.5116641569904279
6,75.09073639921282,117.1770772552129,117.27301690406877,1.3694254962907777
7,47.492498811938766,110.00069669828895,110.93453626138478,1.2688683174033646
8,44.275459489030276,104.60721546807439,104.5495622362424,1.2733459745367055
9,44.275459489030276,98.73081430660403,94.15506198827813,1.1746663608704693
10,41.976057220245494,99.64026573108175,102.15536313670539,1.0941584765230072
11,41.976057220245494,91.53668022815746,94.98285786646213,0.931433161726674
12,41.976057220245494,88.45033935397092,86.01075376608438,0.8602647344958652
13,41.976057220245494,87.25178250186877,87.65055990129224,0.8247768697888811
14,40.710947216839834,89.21843694539817,88.1432172733296,0.7474612361412027
15,40.60504263461834,81.7130059985198,79.52941283717756,0.7237221456018437
16,32.99100476048538,77.45388003572383,73.45961060228666,0.47189089146895197
17,26.569619239622142,72.32065157481026,71.45076369088986,0.4580845626093474
18,26.569619239622142,69.54709969492616,66.35772285868245,0.39990405380905114
19,26.569619239622142,63.78112886117533,62.431310212999136,0.35242321771649215
20,23.411637454516395,64.73551518807652,65.70274922085864,0.35191526109135685
21,23.411637454516395,60.459570904275864,64.13487732448971,0.34073713777690584
22,20.513448347176748,59.59493708385033,61.505336961543215,0.31980582350932835
23,20.513448347176748,55.374959242235235,55.40156602786471,0.31821642854694837
24,20.513448347176748,49.714968570873765,49.95920826771639,0.2804286221946154
25,13.816995233101196,46.85703173427888,46.136341337975495,0.2205509884122296
26,13.816995233101196,45.553471975321905,45.24794714150592,0.21570798967803703
27,13.816995233101196,38.99183107533956,38.3615113918442,0.20012699272519158
28,13.816995233101196,41.05270505939089,39.97967323309692,0.18586978580698724
29,13.816995233101196,38.840490957657266,37.71466990314233,0.1830061973297766
30,13.816995233101196,34.29455519180335,30.771831287763135,0.166625186515621
31,13.816995233101181,32.80002736671504,28.65995123221078,0.14867775052209947
32,11.709109968171006,32.128001868780906,28.903014038911564,0.13446517820229675
33,11.709109968171006,32.85462568054887,29.708686523388167,0.1354033851220753
34,11.709109968171006,32.70612960806519,29.94645796164297,0.12959876616808147
35,11.709109968171006,32.46909335165888,32.749992961592135,0.12955732686269075
36,11.709109968171006,33.173661082929776,32.24156041886076,0.13152100383896892
37,11.709109968171006,33.65324026459462,33.46122466745,0.12483421325528146
38,10.611610247433305,34.89332956701595,31.449469312978422,0.13484119087727606
39,10.517481391959151,35.01093872545776,34.94229966376328,0.1437997823600683
40,10.517481391959151,34.51683968408945,32.619069713713465,0.13917154774035193
41,10.517481391959151,32.91293198073019,31.960233991648323,0.1544988548130121
42,10.517481391959151,34.51894651115981,34.32086958879279,0.15768822551008904
43,10.517481391959151,31.645557766612463,30.872346746232267,0.13093909003082688
44,10.517481391959151,27.88731693884331,26.903263770734874,0.11309042753795688
45,10.316382860305993,29.096139669597058,27.40148770927202,0.1251100969520963
46,10.316382860305993,26.071897019879593,22.416600888445245,0.1166145896934044
47,10.316382860305993,28.63857529796346,28.40549693325584,0.11291727909645848
48,10.316382860305993,28.368602441396362,27.55544733396541,0.11828693496028846
49,10.316382860305993,26.774661209187368,25.11257216799541,0.10588314504649536
50,10.316382860305993,26.34269144818396,23.976252019063942,0.12145010303873494
51,10.22004414557911,27.306141300463267,25.08407340971244,0.12207125548302325
52,10.22004414557911,26.53031313032524,24.349800499456236,0.12741718583414152
53,10.22004414557911,31.164821423002312,29.27101555176803,0.1531309445812541
54,10.210184586234192,32.587094592612246,30.805966073431406,0.15367689196592443
55,10.210184586234192,31.610588466492263,30.611617823988382,0.1368687252087033
56,10.210184586234192,30.07044038800741,28.225086411766455,0.12244763308353686
57,10.210184586234192,29.844160428878812,28.543721167605327,0.12476755989964634
58,10.210184586234192,24.384292068047014,22.82839028152606,0.10074695272572398
59,10.210184586234192,27.71798693137281,26.530608008929363,0.1198564055236826
60,10.1105934195852,27.55693157483272,25.998285528781487,0.12321416890806232
61,10.1105934195852,28.349821659688377,28.193426796927454,0.128174312489659
62,10.1105934195852,28.55110630272149,26.60438938338472,0.12996420700159614
63,9.830200246714156,29.587294042069814,26.541706716003922,0.13617628203164456
64,9.830200246714156,29.2552448044363,27.02150285105973,0.12057245759901877
65,9.830200246714156,30.238071490488174,28.269804876410504,0.12923807954599
66,9.830200246714156,25.99562957917437,24.098091181705925,0.12204743169895668
67,9.830200246714156,26.080148744904555,23.487316780234757,0.13242914871107922
68,9.820063619806092,24.565335509214844,20.694959041106387,0.12832204738131173
69,9.820063619806092,24.842374674901794,21.792687100413566,0.12696371496882708
70,9.820063619806092,24.32253001995688,22.86334178501064,0.11367598169664177
71,9.612861880628984,26.74304146402601,22.755044855164314,0.126193317595501
72,9.612861880628984,26.755728283584677,24.94310538167875,0.11654946601113747
73,9.612861880628984,26.982617713374072,22.80107582205796,0.12646015391712395
74,9.612861880628984,27.248181935586953,25.767378330027917,0.127035413768942
75,9.612861880628984,24.865428533744474,20.965466504764038,0.11609676270761862
76,9.612861880628984,25.0308566767989,20.535124620219385,0.10410829504926067
77,9.612861880628984,23.165121626676473,21.234478195890716,0.10184952931683378
78,9.612861880628984,27.37236560562194,26.518663715601825,0.127059174372184
79,9.612861880628984,30.792279360877888,29.384202314093443,0.13950507391379452
80,9.612861880628984,32.165795514498335,33.20136886774157,0.13552690774210302
