x,target,prediction
-2.0,3.0,3.099138479989684
-1.9493670886075949,2.8506649575388554,2.9498034375285394
-1.8987341772151898,2.706457298509854,2.805595778499538
-1.8481012658227849,2.567377022912995,2.666515502902679
-1.7974683544303798,2.4334241307482776,2.5325626107379615
-1.7468354430379747,2.3045986220157024,2.4037371020053864
-1.6962025316455696,2.18090049671527,2.280038976704954
-1.6455696202531644,2.0623297548469792,2.161468234836663
-1.5949367088607596,1.9488863964108316,2.0480248764005156
-1.5443037974683544,1.8405704214068257,1.9397089013965094
-1.4936708860759493,1.7373818298349621,1.8365203098246459
-1.4430379746835444,1.6393206216952416,1.7384591016849256
-1.3924050632911391,1.546386796987662,1.6455252769773459
-1.3417721518987342,1.4585803557122257,1.5577188357019096
-1.2911392405063291,1.3759012978689313,1.4750397778586153
-1.240506329113924,1.2983496234577792,1.397488103447463
-1.189873417721519,1.2259253324787696,1.3250638124684535
-1.1392405063291138,1.1586284249319017,1.2577669049215856
-1.0886075949367089,1.0964589008171768,1.1955973808068607
-1.0379746835443038,1.0394167601345938,1.1385552401242778
-0.9873417721518987,0.9875020028841531,1.086640482873837
-0.9367088607594938,0.9407146290658549,1.0398531090555387
-0.8860759493670887,0.8990546386796988,0.9981931186693829
-0.8354430379746836,0.862522031725685,0.9616605117153689
-0.7848101265822784,0.8311168082038135,0.9302552881934973
-0.7341772151898733,0.8048389681140843,0.9039774481037681
-0.6835443037974684,0.7836885114564973,0.8828269914461813
-0.6329113924050633,0.7676654382310527,0.8668039182207365
-0.5822784810126582,0.7567697484377504,0.8559082284274342
-0.5316455696202531,0.7510014420765903,0.8501399220662742
-0.4810126582278482,0.7503605191475725,0.8494989991372563
-0.4303797468354431,0.754846979650697,0.8539854596403809
-0.379746835443038,0.7644608235859638,0.8635993035756477
-0.3291139240506329,0.7792020509533728,0.8783405309430568
-0.2784810126582278,0.7990706617529242,0.8982091417426081
-0.2278481012658229,0.8240666559846178,0.9232051359743016
-0.17721518987341778,0.8541900336484538,0.9533285136381378
-0.12658227848101267,0.8894407947444319,0.988579274734116
-0.07594936708860756,0.9298189392725525,1.0289574192622364
-0.025316455696202667,0.9753244672328151,1.0744629472224991
0.025316455696202667,1.0259573786252205,1.1250958586149045
0.07594936708860756,1.0817176734497675,1.1808561534394515
0.12658227848101244,1.142605351706457,1.2417438316961409
0.17721518987341778,1.2086204133952894,1.3077588933849733
0.22784810126582267,1.2797628585162633,1.3789013385059472
0.278481012658228,1.3560326870693802,1.4551711670590641
0.3291139240506329,1.4374298990546386,1.5365683790443223
0.3797468354430378,1.5239544944720393,1.6230929744617233
0.4303797468354431,1.6156064733215834,1.714744953311267
0.481012658227848,1.7123858356032686,1.8115243155929523
0.5316455696202533,1.814292581317097,1.9134310613067809
0.5822784810126582,1.9213267104630667,2.0204651904527506
0.6329113924050631,2.0334882230411786,2.132626703030863
0.6835443037974684,2.150777119051434,2.249915599041118
0.7341772151898733,2.273193398493831,2.372331878483515
0.7848101265822782,2.40073706136837,2.499875541358054
0.8354430379746836,2.533408107675052,2.632546587664736
0.8860759493670884,2.6712065374138754,2.7703450174035593
0.9367088607594938,2.8141323505848423,2.9132708305745263
0.9873417721518987,2.9621855471879504,3.0613240271776343
1.0379746835443036,3.1153661272232007,3.2145046072128847
1.0886075949367089,3.2736740906905943,3.3728125706802783
1.1392405063291138,3.437109437590129,3.536247917579813
1.189873417721519,3.605672167921808,3.7048106479114917
1.240506329113924,3.779362281685627,3.8785007616753115
1.291139240506329,3.958179778881589,4.057318258871272
1.3417721518987342,4.142124659509694,4.241263139499377
1.3924050632911391,4.33119692356994,4.430335403559624
1.4430379746835444,4.5253965710623305,4.624535051052015
1.4936708860759493,4.724723601986861,4.823862081976544
1.5443037974683542,4.929178016343534,5.028316496333218
1.5949367088607596,5.138759814132351,5.237898294122035
1.6455696202531644,5.353468995353309,5.452607475342991
1.6962025316455698,5.5733055600064105,5.672444039996093
1.7468354430379747,5.798269508091652,5.897407988081336
1.7974683544303796,6.028360839609036,6.12749931959872
1.8481012658227849,6.263579554558564,6.362718034548249
1.8987341772151898,6.503925652940234,6.603064132929918
1.9493670886075947,6.749399134754045,6.848537614743727
2.0,7.0,7.0991384799896835
