generation,best_fitness,mean_fitness,best_size
0,1.5102954843771716,22.53907441758649,6
1,1.5102954843771716,8.114352796042947,6
2,1.5102954843771716,16.222258023243548,6
3,1.214147292940149,10.819054648037408,22
4,1.214147292940149,10.380322292704033,22
5,0.9346136862104132,12.196837717401587,35
6,0.7878536079735369,7.672548049454019,45
7,0.7104819763721812,8.43947842407721,45
8,0.3933288158348129,3.938464305701608,17
9,0.15469130347744442,3.583558512896959,25
10,0.15469130347744442,2.0825000924068666,25
11,0.15469130347744442,8.001937351243223,25
12,0.07667165314915483,6.524846516797388,24
13,0.07667165314915483,1.452868918898954,24
14,0.07667165314915483,10.937942315475281,24
15,0.07667165314915483,2.053317919795786,24
16,0.07667165314915483,10.901666311928484,24
17,0.07667165314915483,5.0807881241877535,24
18,0.07667165314915483,1.9016244114329113,24
19,0.07667165314915483,1.7090737011335935,24
20,0.05603908157735594,0.6955617559208254,22
21,0.05603908157735594,2.9897153138823405,22
22,0.051899373059925764,5.547406985351804,25
23,0.051899373059925764,2.8045536254381283,25
24,0.051899373059925764,2.7699166283948826,25
25,0.051899373059925764,3.309177991513286,25
26,0.051899373059925764,3.067078158918798,25
27,0.051899373059925764,1.2837949578538022,25
28,0.051899373059925764,21.6421313180254,25
29,0.051899373059925764,2.4086473197286593,25
30,0.03682843821466495,2.59720800243817,27
31,0.03682843821466495,2.2472710893498107,27
32,0.03682843821466495,0.8616749496527463,27
33,0.03682843821466495,0.8029613577526239,27
34,0.03682843821466495,7.74516122730331,27
35,0.03682843821466495,175.8886701620857,27
